scenario,strategy,seed,instance,t_c,t_f,t_u,fault_type,aisle,reduction,f1_base,f1_event,deg_pct,timeout,n_done,n_total,completion_pct,n_replans,response_ms,response_ms_total,replan_evals,warn_t,warn_agv,maint_enter,detected,min_h,n_agv
compound,moead-cl,58,0,150.0,180.0,220.0,thermal,6,0.7,307.0,727.0,136.80781758957653,0,53,53,100.0,3,558.3168999983172,3875.8173000023817,28000,450.0,2,None,1,0.5686992523917751,10
compound,EHCO,59,0,150.0,180.0,220.0,thermal,6,0.7,292.0,700.0,139.72602739726028,0,53,53,100.0,3,120.1894000005268,662.5876000034623,28000,443.0,0,599.0,1,0.5931446701047581,10
compound,A*-GA,59,0,150.0,180.0,220.0,thermal,6,0.7,298.0,1151.0,286.2416107382551,0,53,53,100.0,0,,0.0,0,461.0,9,None,1,0.5584482852224811,10
compound,noFLC,59,0,150.0,180.0,220.0,thermal,6,0.7,292.0,679.0,132.53424657534248,0,53,53,100.0,3,117.070699998294,651.9771999955992,28000,443.0,0,599.0,1,0.5931446701047581,10
compound,moead-cl,59,0,150.0,180.0,220.0,thermal,6,0.7,292.0,853.0,192.12328767123287,0,53,53,100.0,3,566.2523999999394,3896.6779000002134,28000,443.0,0,599.0,1,0.5896421877394408,10
compound,EHCO,60,0,150.0,180.0,220.0,thermal,6,0.7,353.0,622.0,76.20396600566572,0,53,53,100.0,3,137.15600000068662,564.4237999949837,28000,459.0,5,None,1,0.571842417226647,10
compound,A*-GA,60,0,150.0,180.0,220.0,thermal,6,0.7,297.0,1380.0,364.64646464646466,0,53,53,100.0,0,,0.0,0,449.0,5,None,1,0.5583114603156826,10
compound,noFLC,60,0,150.0,180.0,220.0,thermal,6,0.7,353.0,627.0,77.62039660056658,0,53,53,100.0,2,131.48309999814956,249.62959999902523,8000,459.0,5,None,1,0.5684561956103755,10
compound,moead-cl,60,0,150.0,180.0,220.0,thermal,6,0.7,353.0,616.0,74.5042492917847,0,53,53,100.0,2,552.404200003366,1099.8279000050388,8000,459.0,5,None,1,0.5731263853783687,10
compound,EHCO,31,1,145.26057330283172,190.33207060280972,247.36476891305452,thermal,4,0.5297749810856183,270.0,440.0,62.96296296296296,0,53,53,100.0,2,123.11349999799859,221.8235000000277,8000,459.0,4,None,1,0.5998273042528709,10
compound,A*-GA,31,1,145.26057330283172,190.33207060280972,247.36476891305452,thermal,4,0.5297749810856183,285.0,717.0,151.57894736842107,0,53,53,100.0,0,,0.0,0,455.0,9,None,1,0.5630528656345215,10
compound,noFLC,31,1,145.26057330283172,190.33207060280972,247.36476891305452,thermal,4,0.5297749810856183,270.0,411.0,52.22222222222223,0,53,53,100.0,2,118.44740000015008,215.09489999880316,8000,462.0,3,None,1,0.5999201144479542,10
compound,moead-cl,31,1,145.26057330283172,190.33207060280972,247.36476891305452,thermal,4,0.5297749810856183,270.0,536.0,98.51851851851852,0,53,53,100.0,2,568.6516000023403,1122.8675000020303,8000,451.0,8,None,1,0.5789409753992125,10
compound,EHCO,32,1,145.26057330283172,190.33207060280972,247.36476891305452,thermal,4,0.5297749810856183,292.0,504.0,72.6027397260274,0,53,53,100.0,2,135.0191999990784,246.0492999998678,8000,463.0,3,None,1,0.5879343259762638,10
compound,A*-GA,32,1,145.26057330283172,190.33207060280972,247.36476891305452,thermal,4,0.5297749810856183,301.0,2094.0,595.6810631229235,0,53,53,100.0,0,,0.0,0,448.0,1,None,1,0.5574876886850958,10
compound,noFLC,32,1,145.26057330283172,190.33207060280972,247.36476891305452,thermal,4,0.5297749810856183,292.0,580.0,98.63013698630137,0,53,53,100.0,2,122.24029999924824,229.15460000149324,8000,463.0,3,538.0,1,0.598333282952671,10
